  Trial 277 | Epoch 090 | GP NLPD: 160635.55 | JEPA Loss:   0.62 | SR: 1.94
  Trial 277 | Epoch 100 | GP NLPD: 160389.22 | JEPA Loss:   0.61 | SR: 1.95
  Trial 277 | Epoch 110 | GP NLPD: 158684.22 | JEPA Loss:   0.61 | SR: 1.97
  Trial 277 | Epoch 120 | GP NLPD: 159617.71 | JEPA Loss:   0.59 | SR: 2.00
  Trial 277 | Epoch 130 | GP NLPD: 160155.06 | JEPA Loss:   0.59 | SR: 1.98
  Trial 277 | Epoch 140 | GP NLPD: 160304.33 | JEPA Loss:   0.57 | SR: 2.01
  Trial 277 | Epoch 150 | GP NLPD: 160939.74 | JEPA Loss:   0.57 | SR: 1.92
  Trial 277 | Epoch 160 | GP NLPD: 161430.47 | JEPA Loss:   0.56 | SR: 2.01
  Trial 277 | Epoch 170 | GP NLPD: 162452.68 | JEPA Loss:   0.57 | SR: 2.00
  Trial 277 | Epoch 180 | GP NLPD: 163950.96 | JEPA Loss:   0.58 | SR: 1.99
  Trial 277 | Epoch 190 | GP NLPD: 162895.59 | JEPA Loss:   0.60 | SR: 1.89
  Trial 277 | Epoch 200 | GP NLPD: 163832.96 | JEPA Loss:   0.61 | SR: 1.91
  Trial 277 | Epoch 210 | GP NLPD: 161767.03 | JEPA Loss:   0.61 | SR: 1.97
  Trial 277 | Epoch 220 | GP NLPD: 161672.17 | JEPA Loss:   0.62 | SR: 1.94
  Trial 277 | Epoch 230 | GP NLPD: 159055.31 | JEPA Loss:   0.64 | SR: 1.95
  Trial 277 | Epoch 240 | GP NLPD: 159467.10 | JEPA Loss:   0.69 | SR: 1.87
  Trial 277 | Epoch 250 | GP NLPD: 157400.00 | JEPA Loss:   0.70 | SR: 1.85
  Trial 277 | Epoch 260 | GP NLPD: 156431.88 | JEPA Loss:   0.73 | SR: 1.75
  Trial 277 | Epoch 270 | GP NLPD: 155533.74 | JEPA Loss:   0.76 | SR: 1.73
  Trial 277 | Epoch 280 | GP NLPD: 155193.55 | JEPA Loss:   0.81 | SR: 1.63
  Trial 277 | Epoch 290 | GP NLPD: 155271.99 | JEPA Loss:   0.81 | SR: 1.60
  Trial 277 | Epoch 299 | GP NLPD: 153371.52 | JEPA Loss:   0.77 | SR: 1.67
[I 2026-09-04 01:40:47,764] Trial 277 finished with values: [153294.29947916666, 0.7744255252182484, -1.5631144642829895] and parameters: {'encoder_layers': 3, 'encoder_hidden': 32, 'latent_dim': 5, 'gp_num_inducing': 128, 'gp_kernel': 'Matern12', 'gp_periodic': False, 'gp_composition': 'multiplicative', 'gp_mean': 'Constant', 'lr': 0.0019813680245228385, 'gp_lr': 0.002228851271591878, 'var_weight': 27.8191887647068, 'cov_weight': 27.571508099224296, 'topo_weight': 2.804988248611534, 'ema_tau': 0.9917082375834424, 'aug_noise': 0.10059698345924838, 'aug_dropout': 0.15342346279266736}.
  Trial 278: JIT compilation took 0.0s
  Trial 278 | Epoch 000 | GP NLPD: 230430.91 | JEPA Loss:   0.75 | SR: 2.62
  Trial 278 | Epoch 010 | GP NLPD: 244869.67 | JEPA Loss:   0.53 | SR: 3.76
  Trial 278 | Epoch 020 | GP NLPD: 251579.25 | JEPA Loss:   0.66 | SR: 3.60
  Trial 278 | Epoch 030 | GP NLPD: 253512.50 | JEPA Loss:   0.98 | SR: 3.02
  Trial 278 | Epoch 040 | GP NLPD: 255202.64 | JEPA Loss:   1.13 | SR: 2.67
  Trial 278 | Epoch 050 | GP NLPD: 256380.40 | JEPA Loss:   1.20 | SR: 2.49
  Trial 278 | Epoch 060 | GP NLPD: 257247.95 | JEPA Loss:   1.32 | SR: 2.40
  Trial 278 | Epoch 070 | GP NLPD: 258119.61 | JEPA Loss:   1.35 | SR: 2.36
  Trial 278 | Epoch 080 | GP NLPD: 259226.41 | JEPA Loss:   1.25 | SR: 2.34
  Trial 278 | Epoch 090 | GP NLPD: 260355.96 | JEPA Loss:   1.35 | SR: 2.35
  Trial 278 | Epoch 100 | GP NLPD: 261982.86 | JEPA Loss:   1.33 | SR: 2.33
  Trial 278 | Epoch 110 | GP NLPD: 263514.12 | JEPA Loss:   1.35 | SR: 2.32
  Trial 278 | Epoch 120 | GP NLPD: 264311.82 | JEPA Loss:   1.32 | SR: 2.28
  Trial 278 | Epoch 130 | GP NLPD: 265661.91 | JEPA Loss:   1.32 | SR: 2.31
  Trial 278 | Epoch 140 | GP NLPD: 267154.85 | JEPA Loss:   1.26 | SR: 2.25
  Trial 278 | Epoch 150 | GP NLPD: 268777.98 | JEPA Loss:   1.22 | SR: 2.23
  Trial 278 | Epoch 160 | GP NLPD: 269911.40 | JEPA Loss:   1.26 | SR: 2.17
  Trial 278 | Epoch 170 | GP NLPD: 271539.04 | JEPA Loss:   1.20 | SR: 2.13
  Trial 278 | Epoch 180 | GP NLPD: 273614.09 | JEPA Loss:   1.16 | SR: 2.10
  Trial 278 | Epoch 190 | GP NLPD: 275181.94 | JEPA Loss:   1.23 | SR: 2.08
  Trial 278 | Epoch 200 | GP NLPD: 275172.57 | JEPA Loss:   1.19 | SR: 2.02
  Trial 278 | Epoch 210 | GP NLPD: 276091.45 | JEPA Loss:   1.14 | SR: 1.98
  Trial 278 | Epoch 220 | GP NLPD: 277160.53 | JEPA Loss:   1.19 | SR: 1.90
  Trial 278 | Epoch 230 | GP NLPD: 278124.41 | JEPA Loss:   1.16 | SR: 1.88
  Trial 278 | Epoch 240 | GP NLPD: 279131.74 | JEPA Loss:   1.13 | SR: 1.84
  Trial 278 | Epoch 250 | GP NLPD: 278502.14 | JEPA Loss:   1.17 | SR: 1.78
  Trial 278 | Epoch 260 | GP NLPD: 279007.06 | JEPA Loss:   1.18 | SR: 1.75
  Trial 278 | Epoch 270 | GP NLPD: 279593.30 | JEPA Loss:   1.16 | SR: 1.72
  Trial 278 | Epoch 280 | GP NLPD: 280316.58 | JEPA Loss:   1.24 | SR: 1.67
  Trial 278 | Epoch 290 | GP NLPD: 280876.60 | JEPA Loss:   1.23 | SR: 1.63
  Trial 278 | Epoch 299 | GP NLPD: 281812.43 | JEPA Loss:   1.22 | SR: 1.63
[I 2026-09-04 01:41:34,099] Trial 278 finished with values: [253512.5, 0.9809593694905441, -3.0153249899546304] and parameters: {'encoder_layers': 3, 'encoder_hidden': 32, 'latent_dim': 8, 'gp_num_inducing': 256, 'gp_kernel': 'Matern32', 'gp_periodic': False, 'gp_composition': 'additive', 'gp_mean': 'Constant', 'lr': 0.00016840094149922307, 'gp_lr': 0.0013280937386229983, 'var_weight': 34.701261870469516, 'cov_weight': 40.536142928426436, 'topo_weight': 4.629866469735148, 'ema_tau': 0.9939849744560338, 'aug_noise': 0.003053042833115383, 'aug_dropout': 0.08333322854493784}.
  Trial 279: JIT compilation took 0.0s
